timestamp_ms,date,open,high,low,close,volume,quote_volume
1590469200000,2020-05-26 05:00:00,203.91000000,204.23000000,203.48000000,204.18000000,13050.74841000,2660759.96178100
1590472800000,2020-05-26 06:00:00,204.17000000,204.22000000,202.10000000,202.46000000,20459.40743000,4150108.87344460
1590476400000,2020-05-26 07:00:00,202.46000000,203.93000000,201.50000000,203.60000000,21954.72598000,4453994.04505060
1590480000000,2020-05-26 08:00:00,203.60000000,204.23000000,203.30000000,203.37000000,18909.27244000,3852397.61012300
1590483600000,2020-05-26 09:00:00,203.35000000,203.56000000,202.51000000,203.00000000,17968.01736000,3649574.83805980
1590487200000,2020-05-26 10:00:00,203.00000000,203.30000000,201.80000000,202.31000000,19873.52208000,4025120.77146070
1590490800000,2020-05-26 11:00:00,202.31000000,202.71000000,201.60000000,202.11000000,23426.34452000,4735459.21646710
1590494400000,2020-05-26 12:00:00,202.11000000,202.62000000,200.20000000,200.96000000,40037.12522000,8062912.54375990
1590498000000,2020-05-26 13:00:00,200.96000000,202.00000000,200.15000000,201.41000000,20859.39361000,4198658.96362690
1590501600000,2020-05-26 14:00:00,201.40000000,202.24000000,201.05000000,201.12000000,15372.44971000,3100376.61859490
1590505200000,2020-05-26 15:00:00,201.12000000,201.53000000,197.12000000,197.63000000,59318.32829000,11812737.58476800
1590508800000,2020-05-26 16:00:00,197.65000000,199.66000000,196.90000000,199.39000000,38090.24006000,7569475.05899530
1590512400000,2020-05-26 17:00:00,199.40000000,200.47000000,199.19000000,199.92000000,19017.48557000,3800504.54024320
1590516000000,2020-05-26 18:00:00,199.92000000,200.39000000,199.56000000,200.10000000,9558.83095000,1911061.12119580
1590519600000,2020-05-26 19:00:00,200.06000000,200.20000000,198.75000000,199.30000000,20389.60942000,4066501.00637520
1590523200000,2020-05-26 20:00:00,199.30000000,202.63000000,199.29000000,202.07000000,27960.60208000,5622761.48866920
1590526800000,2020-05-26 21:00:00,202.03000000,202.56000000,200.90000000,201.12000000,15966.42520000,3218982.22466350
1590530400000,2020-05-26 22:00:00,201.12000000,201.23000000,200.45000000,201.07000000,10547.37956000,2119278.51277660
