timestamp_ms,date,open,high,low,close,volume,quote_volume
1590469200000,2020-05-26 05:00:00,8905.37000000,8940.00000000,8891.93000000,8937.43000000,1925.26747700,17169416.68849742
1590472800000,2020-05-26 06:00:00,8937.42000000,8940.00000000,8881.26000000,8887.59000000,2033.58793900,18112917.97461751
1590476400000,2020-05-26 07:00:00,8888.69000000,8965.00000000,8860.05000000,8957.49000000,3930.13564700,35087963.74338490
1590480000000,2020-05-26 08:00:00,8956.83000000,9017.67000000,8943.01000000,8960.01000000,3748.06864900,33669900.93322222
1590483600000,2020-05-26 09:00:00,8960.01000000,8993.00000000,8870.00000000,8893.70000000,3373.32739400,30098451.45203740
1590487200000,2020-05-26 10:00:00,8893.70000000,8900.00000000,8832.38000000,8861.41000000,3376.79679400,29946489.55505118
1590490800000,2020-05-26 11:00:00,8861.51000000,8886.00000000,8841.00000000,8869.15000000,1854.76529300,16441982.09383660
1590494400000,2020-05-26 12:00:00,8869.32000000,8914.56000000,8788.04000000,8817.21000000,3863.56507100,34136531.56729328
1590498000000,2020-05-26 13:00:00,8816.76000000,8862.00000000,8785.03000000,8809.22000000,2526.02338500,22294523.04056078
1590501600000,2020-05-26 14:00:00,8809.15000000,8858.96000000,8791.91000000,8817.17000000,2496.25986000,22037451.71651085
1590505200000,2020-05-26 15:00:00,8817.50000000,8837.26000000,8705.00000000,8726.60000000,4695.00894900,41149177.48518668
1590508800000,2020-05-26 16:00:00,8726.60000000,8808.45000000,8700.00000000,8790.01000000,3823.66914300,33537891.83041516
1590512400000,2020-05-26 17:00:00,8790.01000000,8820.00000000,8782.73000000,8811.03000000,1894.61365900,16680169.44007117
1590516000000,2020-05-26 18:00:00,8810.67000000,8819.99000000,8792.00000000,8810.99000000,1630.40440800,14357130.98414325
1590519600000,2020-05-26 19:00:00,8810.99000000,8811.00000000,8760.20000000,8800.00000000,1929.67556200,16955002.45768806
1590523200000,2020-05-26 20:00:00,8800.00000000,8880.00000000,8799.99000000,8856.20000000,2401.13599800,21232780.43961550
1590526800000,2020-05-26 21:00:00,8855.93000000,8880.00000000,8825.63000000,8842.25000000,1366.29631900,12093284.44165587
1590530400000,2020-05-26 22:00:00,8842.98000000,8843.95000000,8801.12000000,8834.92000000,1506.87028200,13297226.35349831
1590534000000,2020-05-26 23:00:00,8834.59000000,8859.00000000,8815.00000000,8841.18000000,1198.69386000,10593583.71101595
1590537600000,2020-05-27 00:00:00,8841.00000000,8897.80000000,8832.61000000,8886.87000000,2281.67435100,20233869.73317571
1590541200000,2020-05-27 01:00:00,8886.88000000,8893.00000000,8845.79000000,8855.00000000,1131.99262200,10033447.00539261
1590544800000,2020-05-27 02:00:00,8855.00000000,8878.16000000,8811.73000000,8822.59000000,1726.73333600,15283097.62067070
1590548400000,2020-05-27 03:00:00,8821.76000000,8854.68000000,8820.43000000,8828.90000000,1114.53535500,9852403.51831131
1590552000000,2020-05-27 04:00:00,8829.12000000,8860.68000000,8825.00000000,8859.62000000,1160.20711300,10258329.20933178
1590555600000,2020-05-27 05:00:00,8859.65000000,8881.69000000,8855.35000000,8878.00000000,1619.32583500,14358451.16121897
1590559200000,2020-05-27 06:00:00,8878.00000000,8887.75000000,8831.82000000,8846.37000000,1473.18047400,13040656.08913815
1590562800000,2020-05-27 07:00:00,8846.38000000,8862.50000000,8829.40000000,8844.28000000,1618.07115000,14317859.01644903
1590566400000,2020-05-27 08:00:00,8844.89000000,8955.00000000,8844.00000000,8930.00000000,4527.56478200,40368189.63907514
1590570000000,2020-05-27 09:00:00,8930.00000000,8940.00000000,8902.91000000,8923.57000000,2475.38988900,22088502.82383826
1590573600000,2020-05-27 10:00:00,8923.57000000,9170.00000000,8918.51000000,9128.00000000,9556.04195400,86674763.06820866
1590577200000,2020-05-27 11:00:00,9128.10000000,9160.00000000,9107.15000000,9150.74000000,4828.09672700,44086078.66001484
1590580800000,2020-05-27 12:00:00,9148.87000000,9190.00000000,9125.32000000,9145.00000000,5395.87363100,49440210.94732620
