date,close,volume_usd
2020-08-06,0.05822,863503.869777
2020-08-07,0.07484,3502922.895008
2020-08-08,0.10281,7468578.763843
2020-08-09,0.09972,15487532.977076
2020-08-10,0.10139,7238474.469266
2020-08-11,0.09057,3113928.504261
2020-08-12,0.09839,2939615.193429
2020-08-13,0.09225,2732518.537245
2020-08-14,0.09529,2723773.853577
2020-08-15,0.09888,1807992.331826
2020-08-16,0.0986,1431209.708138
2020-08-17,0.0958,1321255.503991
2020-08-18,0.09022,1281761.473059
2020-08-19,0.08275,791939.080747
2020-08-20,0.09131,547620.534008
2020-08-21,0.09378,1392634.51816
2020-08-22,0.0969,6040837.512359
2020-08-23,0.09193,1007242.497673
2020-08-24,0.09199,951721.105793
2020-08-25,0.08573,470089.813706
2020-08-26,0.087,397531.279036
2020-08-27,0.09473,1764526.239219
2020-08-28,0.10632,5523413.79712
2020-08-29,0.10941,4181997.537939
2020-08-30,0.10348,1039554.654178
2020-08-31,0.09846,1082422.542267
2020-09-01,0.10051,728567.713624
2020-09-02,0.10036,1151322.862665
2020-09-03,0.08238,750003.446544
2020-09-04,0.08763,568824.392505
2020-09-05,0.07854,503461.745925
2020-09-06,0.07837,962593.214455
2020-09-07,0.07699,383678.941926
2020-09-08,0.07363,386505.105576
2020-09-09,0.07754,511562.953549
2020-09-10,0.08219,711191.304312
2020-09-11,0.0854,623520.450792
2020-09-12,0.08481,476850.059987
2020-09-13,0.08174,555792.407183
2020-09-14,0.08235,255517.674736
2020-09-15,0.07925,288535.10656
2020-09-16,0.07851,272254.249566
2020-09-17,0.07987,209983.11444
2020-09-18,0.07885,252676.396444
2020-09-19,0.08094,216462.766696
2020-09-20,0.07884,156331.065343
2020-09-21,0.06996,430107.020456
2020-09-22,0.07272,349411.413426
2020-09-23,0.06882,1205146.869604
2020-09-24,0.07556,605697.318848
2020-09-25,0.07648,587955.232396
2020-09-26,0.07976,850884.961824
2020-09-27,0.07889,595961.583049
2020-09-28,0.07966,561320.469584
2020-09-29,0.08878,2563928.009431
2020-09-30,0.08434,936049.75445
2020-10-01,0.07755,1413050.382876
2020-10-02,0.07407,567262.079819
2020-10-03,0.0752,155117.364629
2020-10-04,0.07534,141190.902851
2020-10-05,0.07632,269505.703654
2020-10-06,0.07019,758784.541832
2020-10-07,0.07107,205253.565104
2020-10-08,0.07423,190174.962203
2020-10-09,0.07976,502736.434136
2020-10-10,0.07999,393710.403696
2020-10-11,0.07862,177281.918732
2020-10-12,0.07887,401779.113462
2020-10-13,0.07724,191576.702196
2020-10-14,0.07582,155191.998746
2020-10-15,0.07463,202475.787492
2020-10-16,0.07165,205801.903849
2020-10-17,0.07379,121306.130262
2020-10-18,0.07612,151350.370584
2020-10-19,0.07411,159259.074991
2020-10-20,0.07123,358805.765711
2020-10-21,0.07411,187320.837861
2020-10-22,0.07483,151793.331491
2020-10-23,0.0734,117923.113938
2020-10-24,0.07479,262996.449265
2020-10-25,0.07335,132970.378599
2020-10-26,0.07241,125908.924197
2020-10-27,0.0716,187923.02371
2020-10-28,0.06606,242340.45991
2020-10-29,0.06477,141182.725192
2020-10-30,0.0635,413409.343761
2020-10-31,0.0653,180912.505905
2020-11-01,0.0647,90097.883558
2020-11-02,0.06304,275737.425994
2020-11-03,0.06282,172769.261405
2020-11-04,0.06362,163674.540938
2020-11-05,0.0739,2153799.961016
2020-11-06,0.08365,7311113.361506
2020-11-07,0.07443,1883265.918267
2020-11-08,0.08657,2557017.015342
2020-11-09,0.09732,8960951.828137
2020-11-10,0.08787,10842975.199421
2020-11-11,0.08369,4283419.37209
2020-11-12,0.08357,2049324.858457
