trade,equity
0,1.1745864257025334
1,1.1500011218523294
2,1.2373155524046058
3,1.3185262308134391
4,1.2005221341112058
5,1.1943676987488099
6,1.2748401255603168
7,1.423946513180174
8,1.3327268517083775
9,1.2548837151839025
10,1.1862837605633092
11,1.3265428213116064
12,1.3760454363637746
13,1.2959247062144807
14,1.427514253827207
15,1.4404429100385523
16,1.5639401862262126
17,1.456318556702337
18,1.3446601424765259
19,1.424903262907067
20,1.3362778986728234
21,1.2392630409234264
22,1.259185495521099
23,1.1744228057518402
24,1.2889363591720078
25,1.411105744834516
26,1.55476672681941
27,1.7031680263095241
28,1.8441800266165922
29,1.862513767753568
30,1.7864778399025683
31,1.695598836947791
32,1.7274942095433563
33,1.6354544280570522
34,1.5394895904748287
35,1.7068633692051338
36,1.8499913894764597
37,1.937782400082729
38,1.8823104049469388
39,2.040740505657552
40,2.190095706133088
41,2.125260985525876
42,2.307492725943581
43,2.488627808142057
44,2.489232879083963
45,2.304696435127403
46,2.160361238011647
47,2.0276806356150554
48,1.918527094303033
49,1.7681605497563766
50,1.6444656966426379
51,1.5612958496497584
52,1.6759326186058556
53,1.610636870907334
54,1.5819422443486024
55,1.5206285941067061
56,1.4697996292059392
57,1.5848032574973627
58,1.6325136081486222
59,1.7611661637584546
60,1.8573527780889636
61,2.0713795261675303
62,1.9519839293700134
63,2.1595935976941707
64,2.118404083670743
65,2.211227140285525
66,2.0561751274516884
67,1.9178320208768322
68,2.1523736094384938
69,2.01055134757359
70,1.8783480445405458
71,1.7310789014208303
72,2.0040270644996276
73,2.112808192706277
74,2.3312038396244543
75,2.2066513560363874
76,2.46349563290148
77,2.3155689503751753
78,2.1915989410724395
79,2.4025311906679985
80,2.2581819402139014
81,2.3949131218953608
82,2.323596886418653
83,2.548646227848788
84,2.432378591933971
85,2.5165982010031467
86,2.538870429278482
87,2.5739727063236386
88,2.4712351760553792
89,2.4211219146666823
90,2.3701381301485838
91,2.423060307538314
92,2.3217974489987165
93,2.2306266554672294
94,2.130706782583057
95,2.264813016623853
96,2.18157556034699
97,2.2693332414047447
98,2.2195539373919018
99,2.1966028185851973
100,2.292503126011338
101,2.216929914938838
102,2.3530456245210174
103,2.280962040225004
104,2.3052897845883353
105,2.415645995577331
106,2.4097325026923015
107,2.508023367806284
108,2.4597153419473314
109,2.4093925612246907
110,2.356393041815774
111,2.353854030622501
112,2.303268719508747
113,2.2472066789163736
114,2.224676394102306
115,2.3975097110705024
116,2.4953647806539596
117,2.3965714670822593
118,2.561429188313271
119,2.7243724359446624
120,2.698035176260416
121,2.526712046642807
122,2.3277255278905966
123,2.1406338956566224
124,2.3417725843007
125,2.206919622624205
126,2.2757699258033868
127,2.1133529997398
128,2.1005249506630532
129,2.2059440620325876
130,2.3212894910082293
131,2.3673466618142616
132,2.3448632871128057
133,2.2804392396947892
134,2.4225159046756444
135,2.5445182370042825
136,2.5324039065660697
137,2.435000912076047
138,2.3428568362716207
139,2.4196223745177012
140,2.4866682229838917
141,2.3852945792924216
142,2.2912120690980804
143,2.302223202451194
144,2.231634866664997
145,2.1415920427753607
146,2.2006140934487037
147,2.1376084550909353
148,2.067625158258953
149,2.0948298195900255
150,2.014182563890911
151,1.9952076601231798
152,1.909890408876317
153,1.8102577535715876
154,1.9238749735772498
155,1.824901929866531
156,1.7585609485569762
157,1.7325324020767938
158,1.6651217466326291
159,1.658438666615574
160,1.560420297817618
161,1.6064326385114767
162,1.6169850218825532
163,1.669444660678054
164,1.8179574954152369
165,2.0951732620298564
166,1.9906630528246434
167,1.89507143611878
168,1.825603759926555
169,1.8605263151265992
170,1.8684700927697002
171,2.027240839339417
172,2.1155543885425008
173,2.257303322907309
174,2.121277182333215
175,2.39895829900922
176,2.500432036913457
177,2.7002971764202113
178,2.649273770427958
179,2.6240142479898734
180,2.827505721111321
181,3.0303997087903527
182,3.2808690296415173
183,3.138480712115191
184,3.008714574355214
185,2.8520799012432057
186,2.705967041767425
187,2.7350498813368938
188,2.835906653109581
189,2.742292100044656
190,2.670753509158258
191,2.5785438262110305
192,2.4775064839238468
193,2.576021899667647
194,2.846369857815945
195,2.7933009438097933
196,2.663162725069754
197,2.7338986845823343
198,2.6115051240974676
199,2.798864942822981
200,2.893865576381583
201,2.9343063278458787
202,2.859636078281846
203,2.7830584569135017
204,2.698595408664075
205,2.6051405366828355
206,2.5032084767115403
207,2.6740158971451438
208,2.8392733333662856
209,2.7056848007158916
210,2.959908420952638
211,3.249741555592585
212,3.092929207162099
213,2.9635919742426022
214,2.8342621974415705
215,3.083131798617538
216,3.17921431807365
217,3.065816893968182
218,3.127632349568737
219,3.093401179439739
