date,core,combined
2021-05-30,1.0047948962601827,1.029544391237508
2021-05-31,1.0174954294478988,1.0386537467193726
2021-06-01,1.0341315451419524,1.055675129147741
2021-06-02,1.058021500499404,1.0727464797685122
2021-06-03,1.064107965948559,1.0770663013101465
2021-06-04,1.0440707874980215,1.0594878562809646
2021-06-05,1.048734931057257,1.067278860063803
2021-06-06,1.0565190298634464,1.072824077161209
2021-06-07,1.0291825666943928,1.0533932382172222
2021-06-08,1.0333951597323592,1.0564114217889333
2021-06-09,1.0476188660448829,1.0602548866131085
2021-06-10,1.0303358952413812,1.04801088415146
2021-06-11,1.011394517529598,1.0374986655309784
2021-06-12,1.0117701982042118,1.0377684294403882
2021-06-13,1.0338373928357383,1.0536123894313947
2021-06-14,1.0360729640611357,1.055207222322718
2021-06-15,1.0339783199000074,1.0537138925992509
2021-06-16,1.0315293655559157,1.0519669042770274
2021-06-17,1.0305081163338543,1.0512378661197535
2021-06-18,1.0152765759092273,1.050710941281819
2021-06-19,1.0046322813590152,1.042999886079661
2021-06-20,1.002660430235317,1.0456782398539295
2021-06-21,0.9466590972567303,1.004795442973888
2021-06-22,0.9518183598348806,1.0086287156692622
2021-06-23,0.9808047297972411,1.030130233646374
2021-06-24,0.9939964189705977,1.0461044569340985
2021-06-25,0.9812730791433131,1.0367312242217157
2021-06-26,0.9808082135999555,1.0363874275316047
2021-06-27,0.9904261954044422,1.0370158088786803
2021-06-28,0.9893716345650089,1.0362428917376618
2021-06-29,0.9985592640500206,1.029067826520818
2021-06-30,0.9951112028323555,1.0224534307907769
2021-07-01,0.9807456157920792,1.0121212180702353
2021-07-02,0.9824282200998317,1.0133367215054274
2021-07-03,0.9865146971943743,1.0113463355497028
2021-07-04,0.9898080052345675,1.0137096784572446
2021-07-05,0.9811891077711064,1.0046688423695223
2021-07-06,0.9820666326287601,1.0052978091131752
2021-07-07,0.977518269676555,1.002038639713371
2021-07-08,0.9678419436788135,0.995095304751063
2021-07-09,0.9746941679536649,1.0065529103126032
2021-07-10,0.9711887001239288,1.0040188773067371
2021-07-11,0.9728927296570987,1.007854590113816
2021-07-12,0.9694655674070125,1.0053693656181801
2021-07-13,0.9647312842931486,1.001932634743353
2021-07-14,0.9634113609979028,1.0009730598104394
2021-07-15,0.955934848398959,0.9955354538229129
2021-07-16,0.9496632248177493,0.990963451298883
2021-07-17,0.9546664142230977,0.9946179936647879
2021-07-18,0.9534692662069713,0.993744920664496
2021-07-19,0.9467478682846434,0.9888411983346147
2021-07-20,0.9406787652032678,1.0017522958245872
2021-07-21,0.9551597241282794,1.0125470900410976
2021-07-22,0.9602704170699118,1.0163395155326624
2021-07-23,0.9686705862926657,1.0127967845974883
2021-07-24,0.9773655297222099,1.0191605037096605
2021-07-25,0.9777982777296301,1.0194763812034606
2021-07-26,0.9950104970121764,1.0320384975401515
2021-07-27,1.0035594972744264,1.0447845560578233
2021-07-28,1.0095634860151235,1.0491599939961251
2021-07-29,1.0601511167271747,1.0859602183985924
2021-07-30,1.0893804877744402,1.1069188851072533
2021-07-31,1.1013135007697699,1.1154064744410976
2021-08-01,1.0521028868606797,1.0805182376865874
2021-08-02,1.0577767802648907,1.0845972320178008
2021-08-03,1.0127026900286098,1.0522453558066176
2021-08-04,1.068408893637733,1.0927622974817337
2021-08-05,1.1124600539543035,1.1405450998119357
2021-08-06,1.1581578739512541,1.1733411513546779
2021-08-07,1.2445550350576922,1.2346120218780428
2021-08-08,1.1780711823472132,1.1884451324649723
2021-08-09,1.2504308207348946,1.23954291239725
2021-08-10,1.2462005833229437,1.2366075300471397
2021-08-11,1.280549374817817,1.2604665960316248
2021-08-12,1.197901684910763,1.2035205242198372
2021-08-13,1.3942082487376992,1.3415796713990755
2021-08-14,1.4565607514282182,1.3798228274747422
2021-08-15,1.6287573258461874,1.4895516614811817
2021-08-16,1.6317469487607483,1.495122498833186
2021-08-17,1.5611804299498635,1.4498618577680797
2021-08-18,1.6755267916798349,1.5241969555482335
2021-08-19,1.7586896363178217,1.5771531891751562
2021-08-20,1.8953162906316308,1.6629197800444562
2021-08-21,1.801857923091477,1.605520580695531
2021-08-22,1.7963723239233007,1.6020990736086738
2021-08-23,1.8634096681363026,1.6439502677856084
2021-08-24,1.658079660268122,1.5128792111477773
2021-08-25,1.6962634324446073,1.5372671857181706
2021-08-26,1.6474014228411702,1.5107019951764329
2021-08-27,1.8364791856937814,1.627287213220321
2021-08-28,1.8777748580454285,1.6529014124292543
2021-08-29,1.86054965967666,1.6422877394355049
2021-08-30,1.9445094844080422,1.694165061296307
2021-08-31,1.9969738082678252,1.7261619518295437
2021-09-01,2.1404806483225656,1.8129939534676895
2021-09-02,2.2769682545593577,1.893917760705635
2021-09-03,2.444820182253844,1.991647899224211
2021-09-04,2.381432080023963,1.9555009682184725
2021-09-05,2.4587831889636864,1.9999624999099475
2021-09-06,2.661185679690941,2.115205753244311
2021-09-07,2.127160487152602,1.8180820997621627
