trade,equity
0,1.1745864257025334
1,1.1500011218523294
2,1.2254809548626298
3,1.115804128020027
4,1.1100839965973124
5,1.158617968188862
6,1.2941309132274956
7,1.2112273893155254
8,1.3544356347839934
9,1.4049791263053286
10,1.3082963091799047
11,1.2079870117750182
12,1.1328532874754629
13,1.1510650935571942
14,1.0735805817227928
15,1.0065700611764141
16,0.9489664035561005
17,1.044253030089479
18,1.1432305709544113
19,1.259619882711995
20,1.379849640805961
21,1.3935672853728518
22,1.3510250903843386
23,1.464314501834799
24,1.5338032846976601
25,1.4898958117304295
26,1.5989364697816404
27,1.5516021916509315
28,1.6846452248342236
29,1.8168876140928227
30,1.8173293619091895
31,1.6826037198198163
32,1.5822786370283464
33,1.66025491025786
34,1.53013071515871
35,1.4230876674657533
36,1.5275766226987666
37,1.468060949670771
38,1.4189891258393657
39,1.4617076578993193
40,1.5415392567839301
41,1.7191741347979936
42,1.6200798745574105
43,1.7483495213419191
44,1.907949345496434
45,1.8715593939767483
46,1.9535663467220452
47,1.8003998221551663
48,2.0946568523538294
49,2.2083574802751054
50,2.4366298157366173
51,2.3064445912718106
52,2.5749043511491854
53,2.420287856846969
54,2.268079695698103
55,2.363327413254038
56,2.4054474926048637
57,2.455821100746347
58,2.693676868510367
59,2.570793026101028
60,2.421634326627832
61,2.5054819221351305
62,2.5263766727018235
63,2.475145217358305
64,2.530412069780179
65,2.4351247084333805
66,2.3395038556704724
67,2.2347068797634213
68,2.375358857914455
69,2.2880585697113025
70,2.1988937171424006
71,2.1264063747583903
72,2.2569640936154127
73,2.187823886642877
74,2.2111582601605475
75,2.3170083138586395
76,2.271747103492122
77,2.233026385481064
78,2.2307849028198565
79,2.161184413851877
80,2.222774822628822
81,2.264060916634247
82,2.226704004991145
83,2.290225989443799
84,2.234469071948044
85,2.1701492976965806
86,2.211048798622182
87,2.172470059037364
88,2.216602058702964
89,2.2398670757520103
90,2.1699832229885474
91,2.2372733999957815
92,2.192994371006552
93,2.173163952043947
94,2.1172833837580796
95,2.107187287572047
96,2.1156329799751346
97,2.0709738915845195
98,2.048857424219749
99,2.142026806797696
100,2.097462856002593
101,2.060789624936407
102,2.0116454442356835
103,1.9766480253592429
104,1.9350141884043104
105,1.9658056971545812
106,1.945515768109681
107,1.8932272965611365
108,1.8476038868237774
109,1.884262566461521
110,1.8787297564877499
111,1.8271125148418055
112,1.8184137189633973
113,1.7496022245885896
114,1.7024781641646263
115,1.7810098937464678
116,1.8543628936884538
117,1.9305375242601719
118,2.0643712213109713
119,2.177554707008559
120,2.3203192200554894
121,2.376700794996943
122,2.254352226043866
123,2.332336569684002
124,2.3476572927841577
125,2.5658988328268415
126,2.841979878506307
127,2.9957813378750355
128,3.3197068876462046
129,3.473581127835061
130,3.6750321342022088
131,3.7798750265512413
132,3.53825321436704
133,3.5045177101479004
134,3.7156830485854
135,3.4952569945412186
136,3.635593867604089
137,3.3846878173064
138,3.6081756136520466
139,3.6254643334092136
140,3.5958000348272776
141,3.431708250064371
142,3.2624433593439717
143,3.543045969570439
144,3.6473035201405968
145,3.9068426048586966
146,3.9045022783909817
147,4.1709275355973725
148,4.254591424377795
149,4.042316024322599
150,4.0675378715702175
