date,equity
2017-11-24,1.1747560805507138
2017-11-25,1.157336102442344
2017-11-26,1.1713901427162623
2017-11-27,1.185199745771348
2017-11-28,1.1598849948314283
2017-11-29,1.0599827268154447
2017-11-30,1.0824018533402269
2017-12-01,1.1369025877374614
2017-12-02,1.1326687063497494
2017-12-03,1.143606600985739
2017-12-04,1.1498135850665612
2017-12-05,1.1274811797794502
2017-12-06,1.0674998696953553
2017-12-07,1.061414642166439
2017-12-08,1.1372700316684643
2017-12-09,1.1856922688688512
2017-12-10,1.0941425700180416
2017-12-11,1.238301147094341
2017-12-12,1.6154590702296439
2017-12-13,1.6389222246980553
2017-12-14,1.6342078088879983
2017-12-15,1.6226690415381433
2017-12-16,1.6338211628512513
2017-12-17,1.675819488696292
2017-12-18,1.7522941817984214
2017-12-19,1.7977781503834729
2017-12-20,1.7648947253364622
2017-12-21,1.760447085680419
2017-12-22,1.621257112786923
2017-12-23,1.6747424814634275
2017-12-24,1.6303014106116416
2017-12-25,1.6932580525436476
2017-12-26,1.7082339602331627
2017-12-27,1.696755812268745
2017-12-28,1.6665869608234947
2017-12-29,1.7050364978596595
2017-12-30,1.6630237382063509
2017-12-31,1.699182102516934
2018-01-01,1.7164283671048015
2018-01-02,1.8504283465299034
2018-01-03,1.9406277187668626
2018-01-04,1.949946658897795
2018-01-05,1.9565662623571873
2018-01-06,2.008336377898335
2018-01-07,2.1115161298569607
2018-01-08,2.1438242389045925
2018-01-09,2.29815763698531
2018-01-10,2.24396791417369
2018-01-11,2.142197938132562
2018-01-12,2.3217438311913954
2018-01-13,2.48247029761639
2018-01-14,2.4595805856074446
2018-01-15,2.3588913596283563
2018-01-16,2.084224107091017
2018-01-17,2.026944788353436
2018-01-18,2.0342683532427395
2018-01-19,2.0476478910428755
2018-01-20,2.1946507461037643
2018-01-21,2.068703245123264
2018-01-22,2.0112939963638423
2018-01-23,2.0028563830213337
2018-01-24,2.079822998638866
2018-01-25,2.075491935281224
2018-01-26,2.071581610551375
2018-01-27,2.1354539993698554
2018-01-28,2.208521184466068
2018-01-29,2.150379953773087
2018-01-30,2.088750608945719
2018-01-31,2.114239306974439
2018-02-01,2.071163829493612
2018-02-02,2.0066288675326067
2018-02-03,2.0377254735089987
2018-02-04,1.9606454612031379
2018-02-05,1.866453533367731
2018-02-06,1.8661408892253735
2018-02-07,1.844919549441696
2018-02-08,1.878684011119
2018-02-09,1.9187529233385527
2018-02-10,1.905634496540904
2018-02-11,1.8843452475723783
2018-02-12,1.8840466079797757
2018-02-13,1.8840466079797757
2018-02-14,1.8840466079797757
2018-02-15,1.8840466079797757
2018-02-16,1.8840466079797757
2018-02-17,1.8840466079797757
2018-02-18,1.8840466079797757
2018-02-19,1.8840466079797757
2018-02-20,1.8840466079797757
2018-02-21,1.8840466079797757
2018-02-22,1.8840466079797757
2018-02-23,1.8840466079797757
2018-02-24,1.8840466079797757
2018-02-25,1.8840466079797757
2018-02-26,1.8997524197747713
2018-02-27,1.905913817360263
2018-02-28,1.8892520238637185
2018-03-01,1.9020862688767115
2018-03-02,1.9017182517925024
2018-03-03,1.9005904514731438
2018-03-04,1.905635844336965
2018-03-05,1.9052483311766952
2018-03-06,1.873387152153602
2018-03-07,1.8729851111257128
2018-03-08,1.8729851111257128
2018-03-09,1.8729851111257128
2018-03-10,1.8729851111257128
2018-03-11,1.8729851111257128
2018-03-12,1.8729851111257128
2018-03-13,1.8729851111257128
2018-03-14,1.8729851111257128
2018-03-15,1.8729851111257128
2018-03-16,1.8729851111257128
2018-03-17,1.8729851111257128
2018-03-18,1.8729851111257128
2018-03-19,1.8729851111257128
2018-03-20,1.8729851111257128
2018-03-21,1.8729851111257128
2018-03-22,1.8729851111257128
2018-03-23,1.8729851111257128
2018-03-24,1.8729851111257128
2018-03-25,1.8729851111257128
2018-03-26,1.8729851111257128
2018-03-27,1.8729851111257128
2018-03-28,1.8729851111257128
2018-03-29,1.8729851111257128
2018-03-30,1.8729851111257128
2018-03-31,1.8729851111257128
2018-04-01,1.8729851111257128
2018-04-02,1.8729851111257128
2018-04-03,1.8729851111257128
2018-04-04,1.8729851111257128
2018-04-05,1.8729851111257128
2018-04-06,1.8729851111257128
2018-04-07,1.8729851111257128
2018-04-08,1.8729851111257128
2018-04-09,1.8729851111257128
2018-04-10,1.8729851111257128
2018-04-11,1.8729851111257128
2018-04-12,1.8729851111257128
2018-04-13,1.8729851111257128
2018-04-14,1.8729851111257128
2018-04-15,1.8729851111257128
2018-04-16,1.8729851111257128
2018-04-17,1.8729851111257128
2018-04-18,1.8729851111257128
2018-04-19,1.8729851111257128
2018-04-20,1.8729851111257128
2018-04-21,1.8729851111257128
2018-04-22,1.8729851111257128
2018-04-23,1.8729851111257128
2018-04-24,1.8729851111257128
2018-04-25,1.8729851111257128
2018-04-26,1.8729851111257128
2018-04-27,1.8729851111257128
2018-04-28,1.8729851111257128
2018-04-29,1.8729851111257128
2018-04-30,1.8729851111257128
2018-05-01,1.8729851111257128
2018-05-02,1.8729851111257128
2018-05-03,1.8729851111257128
2018-05-04,1.8729851111257128
2018-05-05,1.8729851111257128
2018-05-06,1.8729851111257128
2018-05-07,1.8729851111257128
2018-05-08,1.8729851111257128
2018-05-09,1.8729851111257128
2018-05-10,1.8729851111257128
2018-05-11,1.8729851111257128
2018-05-12,1.8729851111257128
2018-05-13,1.8729851111257128
2018-05-14,1.8729851111257128
2018-05-15,1.8729851111257128
2018-05-16,1.8729851111257128
2018-05-17,1.8729851111257128
2018-05-18,1.8729851111257128
2018-05-19,1.8729851111257128
2018-05-20,1.8729851111257128
2018-05-21,1.8729851111257128
2018-05-22,1.8729851111257128
2018-05-23,1.8729851111257128
2018-05-24,1.8729851111257128
2018-05-25,1.8729851111257128
2018-05-26,1.8729851111257128
2018-05-27,1.8729851111257128
2018-05-28,1.8729851111257128
2018-05-29,1.8729851111257128
2018-05-30,1.8729851111257128
2018-05-31,1.8729851111257128
2018-06-01,1.8729851111257128
2018-06-02,1.8729851111257128
2018-06-03,1.8729851111257128
2018-06-04,1.8729851111257128
2018-06-05,1.8729851111257128
2018-06-06,1.8729851111257128
2018-06-07,1.8729851111257128
2018-06-08,1.8729851111257128
2018-06-09,1.8729851111257128
2018-06-10,1.8729851111257128
2018-06-11,1.8729851111257128
2018-06-12,1.8729851111257128
