trade,equity
0,1.0288
1,1.0584294399999998
2,1.0889122078719997
3,1.1202728794587133
4,1.0853203656196015
5,1.05145837021227
6,1.0817403712743832
7,1.1128944939670853
8,1.0781721857553122
9,1.0445332135597465
10,1.0119437772966826
11,0.9803711314450261
12,0.9497835521439412
13,0.9201503053170503
14,0.9466506341101814
15,0.9739141723725545
16,1.001962900536884
17,1.0308194320723463
18,0.998657865791689
19,1.0274192123264896
20,1.0570088856414923
21,1.0240302084094777
22,0.992080465907102
23,0.9611275553708004
24,0.9311403756432315
25,0.9579572184617565
26,0.9280689532457497
27,0.9547973390992274
28,0.9250076621193315
29,0.8961474230612082
30,0.921956468845371
31,0.9485088151481176
32,0.9189153401154964
33,0.9453801019108226
34,0.9158842427312048
35,0.9422617089218635
36,0.9693988461388131
37,0.9704183960248578
38,0.9401413420688822
39,0.967217412720466
40,0.9950732742068154
41,0.9882378917629184
42,1.0166991430456906
43,0.9849781297826651
44,0.954246812133446
45,0.9817291203228892
46,1.0100029189881883
47,1.0125843512374475
48,0.9809917194788391
49,1.0092442809998297
50,0.977755859432635
51,1.005915228184295
52,1.0348855867560025
53,1.0025971564492153
54,1.0314719545549529
55,1.0611783468461355
56,1.0917402832353043
57,1.0911681044293984
58,1.0831509250372084
59,1.1143456716782802
60,1.146438827022615
61,1.1106699356195093
62,1.109466183580509
63,1.1414188096676279
64,1.1058065428059978
65,1.0713053786704507
66,1.0378806508559326
67,1.0677716136005835
68,1.0344571392562452
69,1.064249504866825
70,1.03104492031498
71,0.9988763188011527
72,1.0028254218175612
73,0.9715372686568533
74,0.9995175419941706
75,0.9683325946839525
76,0.9381206177298131
77,0.9567579959198004
78,0.9269071464471026
79,0.897987643477953
80,0.923849687610118
81,0.9504565586132894
82,0.9208023139845547
83,0.9473214206273098
84,0.9746042775413764
85,1.002672880734568
86,1.0315498596997235
87,1.0612584956590754
88,1.0918227403340566
89,1.1232672352556774
90,1.1556173316310407
91,1.1888991107820146
92,1.2231394051725366
93,1.1849774557311534
94,1.2191048064562107
95,1.21217404005259
96,1.1743542100029494
97,1.2081756112510342
98,1.242971068855064
99,1.2473213171260489
100,1.208404892031716
101,1.2432069529222294
102,1.2044188959910558
103,1.21703790395526
104,1.1998646683861656
105,1.162428890732517
106,1.1261611093416626
107,1.0910248827302027
108,1.0569849063890204
109,1.024006977309683
110,1.0146387198275661
111,1.0167922948101908
112,1.0192124451518971
113,1.0485657635722716
114,1.0787644575631532
115,1.0451070064871828
116,1.0752060882740135
117,1.0889673766200874
118,1.1203296370667457
119,1.0853753523902632
120,1.0850577826701355
121,1.1163074468110354
122,1.148457101279193
123,1.1556162295242909
124,1.1551195690709937
125,1.1190798385159786
126,1.1513093378652386
127,1.115388486523843
128,1.14751167493573
129,1.1396704408183655
130,1.1340185013338677
131,1.1272637794477924
132,1.1292944249663304
133,1.12787488984882
134,1.1336292061187971
135,1.1177961895570472
136,1.1158416239814328
137,1.1106968654637852
138,1.1041107453336787
139,1.095129531398508
140,1.0963817173810153
141,1.108096966574801
142,1.1180820710745052
143,1.1042853798790706
144,1.1003671501619665
145,1.132057724086631
146,1.1324803497412768
147,1.0971469628293489
148,1.0895549786848087
149,1.120934162070931
150,1.1019875138442725
151,1.0676055034123313
152,1.0983525419106064
153,1.1299850951176318
154,1.1364893625828665
155,1.169220256225253
156,1.132740584231025
157,1.1653635130568785
158,1.1989259822329166
159,1.1615194915872495
160,1.1949712529449623
161,1.1576881498530796
162,1.1910295685688481
163,1.2253312201436308
164,1.2606207592837673
165,1.2212893915941139
166,1.2564625260720244
167,1.2352241733114484
168,1.1966851791041313
169,1.2311497122623303
170,1.2558382809074362
171,1.2920064233975703
172,1.2842732269423223
173,1.2799220652505368
174,1.3167838207297522
175,1.275700165522984
176,1.3124403302900458
177,1.2714921919849964
178,1.3081111671141643
179,1.345784768727052
180,1.3845433700663912
181,1.3689662606932649
182,1.408392489001231
183,1.4489541926844662
184,1.4433309063646425
185,1.484898836467944
186,1.4385699927701443
187,1.4800008085619243
188,1.5226248318485076
189,1.5234133472269933
190,1.5146832814212376
191,1.4674251630408952
192,1.5096870077364728
193,1.4965471182909045
194,1.5136788729344988
195,1.4664520920989423
196,1.5086859123513918
197,1.5521360666271118
198,1.5968375853459724
199,1.62073899938593
200,1.570171942605089
201,1.6153928945521154
202,1.5649926362420894
203,1.5161648659913363
204,1.5094237234884047
205,1.5528951267248707
206,1.5044447987710547
207,1.4575061210493978
208,1.4470387686548634
209,1.458884553445494
210,1.500900428584724
211,1.544126360927964
212,1.5685578979348527
213,1.5669684002932962
214,1.557831368780786
215,1.6026969122016725
216,1.614086523712246
217,1.6605722155951586
218,1.6087623624685896
219,1.655094718507685
220,1.6287431177378555
221,1.5779263324644344
222,1.5757280547802786
223,1.5596788101273689
224,1.604597559859037
225,1.554534115991435
226,1.5851549548468795
227,1.6113971435395322
228,1.5611215526610989
229,1.5124145602180725
230,1.5408479539501723
231,1.5362493365307395
232,1.5651308240575172
233,1.5945552835497985
234,1.6245329228805345
235,1.590092824915467
236,1.5563828570272593
237,1.5856428547393717
238,1.6154529404084719
239,1.645823455688151
240,1.6577988438021827
241,1.6705273167223127
242,1.6518174107750228
243,1.6828715780975931
244,1.6640234164229
245,1.6953070566516504
246,1.676319617617152
247,1.6575448378998396
248,1.6887066808523565
249,1.685187882959776
250,1.687277747743991
251,1.6683802369692584
252,1.6622256958050152
253,1.6436087680119988
254,1.6663485289168005
255,1.6476854253929325
256,1.6330591593904131
257,1.6386034996383971
