trade,equity
0,1.1523033829477147
1,1.1550408471248013
2,1.2723090430180541
3,1.1989098965572873
4,1.2239258673534845
5,1.3029259480822293
6,1.2584936860006226
7,1.345393220138612
8,1.243176401903287
9,1.3174101087098464
10,1.3940092735997924
11,1.5084004612895077
12,1.610850429611927
13,1.6892140421441182
14,1.6684910719092885
15,1.74543501504701
16,1.824753382808214
17,1.8298756722658949
18,1.856534519999457
19,1.8517081095474024
20,1.747172711370392
21,1.6469181887201712
22,1.6068034724616227
23,1.6350082024526311
24,1.5907872098320428
25,1.6609125558096323
26,1.723872755975921
27,1.7327461106371351
28,1.7937052849188952
29,1.7672177237789348
30,1.7959645655470995
31,1.6869663091208336
32,1.6169377035135248
33,1.6741126955232275
34,1.6300117104890968
35,1.6289953408103266
36,1.5888350776959637
37,1.5437443929124695
38,1.551110425111907
39,1.4909412249009082
40,1.4308005185065529
41,1.5488855188181019
42,1.5110730546837212
43,1.4663947352061426
44,1.423688528066611
45,1.4512007711756492
46,1.4779160353787295
47,1.5040198955171136
48,1.5017596339504777
49,1.47743112788048
50,1.5199811443634377
51,1.49535744982475
52,1.5384237443797026
53,1.5556354777066868
54,1.5304341829678385
55,1.5056411492037596
56,1.4812497625866587
57,1.457253516432755
58,1.411787206720053
59,1.3677394458703873
60,1.3250659751592313
61,1.3632278752438172
62,1.3206951655362098
63,1.2794894763714801
64,1.3163387732909786
65,1.2752690035643
66,1.3119967508669517
67,1.3497822572919198
68,1.307669050864412
69,1.332232487184354
70,1.284521689256324
71,1.2442422571594944
72,1.2812419958895411
73,1.2352967241309987
74,1.178687208762767
75,1.2264130148922059
76,1.171879185181101
77,1.1156842750917244
78,1.1158734457720396
79,1.070777536172745
80,1.0663101237752735
81,1.042303875368748
82,1.0399955638554472
83,1.0404602349368879
84,1.0293021853973807
85,1.0785198103779063
86,1.1639241346672633
87,1.2767431582769464
88,1.2461376146583742
89,1.2234091982133806
90,1.2022723108173763
91,1.1813223779560313
92,1.160842141794396
93,1.1337810291112365
94,1.1438735558905846
95,1.1067466001818427
96,1.0723987972924873
97,1.0278464592974292
98,1.0998525738169207
99,1.0590053371524266
100,1.0538358587191852
101,1.1010603518332829
102,1.1187910512266133
103,1.0770228112206033
104,1.038752174380095
105,1.09407939076553
106,1.154088742041913
