date,equity
2016-02-07,1.0
2016-02-08,1.0
2016-02-09,1.0
2016-02-10,1.0
2016-02-11,1.0
2016-02-12,1.0
2016-02-13,1.0
2016-02-14,1.0
2016-02-15,1.0
2016-02-16,1.0
2016-02-17,1.0
2016-02-18,1.0
2016-02-19,1.0
2016-02-20,1.0
2016-02-21,1.0
2016-02-22,1.0
2016-02-23,1.0
2016-02-24,1.0
2016-02-25,1.0
2016-02-26,1.0
2016-02-27,1.0
2016-02-28,1.0
2016-02-29,1.0
2016-03-01,1.0
2016-03-02,1.0
2016-03-03,1.0
2016-03-04,1.0
2016-03-05,1.0
2016-03-06,1.0
2016-03-07,1.0
2016-03-08,1.0
2016-03-09,1.0
2016-03-10,1.0
2016-03-11,1.0
2016-03-12,1.0
2016-03-13,1.0
2016-03-14,1.0
2016-03-15,1.0
2016-03-16,1.0
2016-03-17,1.0
2016-03-18,1.0
2016-03-19,1.0
2016-03-20,1.0
2016-03-21,1.0
2016-03-22,1.0
2016-03-23,1.0
2016-03-24,1.0
2016-03-25,1.0
2016-03-26,1.0
2016-03-27,1.0
2016-03-28,1.0
2016-03-29,1.0
2016-03-30,1.0
2016-03-31,1.0
2016-04-01,1.0
2016-04-02,1.0
2016-04-03,1.0
2016-04-04,1.0
2016-04-05,1.0
2016-04-06,1.0
2016-04-07,1.0
2016-04-08,1.0
2016-04-09,1.0
2016-04-10,0.9804287091368499
2016-04-11,0.9941131955799085
2016-04-12,0.9778821378172832
2016-04-13,0.9736341703935623
2016-04-14,1.0334541651160083
2016-04-15,1.0372183643621415
2016-04-16,1.0523933770642782
2016-04-17,1.053592662030844
2016-04-18,1.1078161988654602
2016-04-19,1.107392533398543
2016-04-20,1.107392533398543
2016-04-21,1.107392533398543
2016-04-22,1.107392533398543
2016-04-23,1.107392533398543
2016-04-24,1.107392533398543
2016-04-25,1.107392533398543
2016-04-26,1.107392533398543
2016-04-27,1.107392533398543
2016-04-28,1.107392533398543
2016-04-29,1.107392533398543
2016-04-30,1.107392533398543
2016-05-01,1.107392533398543
2016-05-02,1.107392533398543
2016-05-03,1.107392533398543
2016-05-04,1.107392533398543
2016-05-05,1.107392533398543
2016-05-06,1.107392533398543
2016-05-07,1.107392533398543
2016-05-08,1.107392533398543
2016-05-09,1.107392533398543
2016-05-10,1.107392533398543
2016-05-11,1.107392533398543
2016-05-12,1.107392533398543
2016-05-13,1.107392533398543
2016-05-14,1.107392533398543
2016-05-15,1.107392533398543
2016-05-16,1.107392533398543
2016-05-17,1.107392533398543
2016-05-18,1.107392533398543
2016-05-19,1.107392533398543
2016-05-20,1.107392533398543
2016-05-21,1.107392533398543
2016-05-22,1.107392533398543
2016-05-23,1.107392533398543
2016-05-24,1.107392533398543
2016-05-25,1.107392533398543
2016-05-26,1.136554020481083
2016-05-27,1.0545509996143625
2016-05-28,1.0403389511839898
2016-05-29,1.0393911845412742
2016-05-30,1.0393911845412742
2016-05-31,1.0393911845412742
2016-06-01,1.0393911845412742
2016-06-02,1.0393911845412742
2016-06-03,1.0393911845412742
2016-06-04,1.0393911845412742
2016-06-05,1.0393911845412742
2016-06-06,1.0393911845412742
2016-06-07,1.0393911845412742
2016-06-08,1.0393911845412742
2016-06-09,1.0393911845412742
2016-06-10,1.0393911845412742
2016-06-11,1.0393911845412742
2016-06-12,1.0393911845412742
2016-06-13,1.0393911845412742
2016-06-14,1.0393911845412742
2016-06-15,1.0393911845412742
2016-06-16,1.0393911845412742
2016-06-17,1.0393911845412742
