date,equity
2019-03-26,0.9923609557362655
2019-03-27,1.0138792388382434
2019-03-28,1.0161986110561807
2019-03-29,1.0161517589966174
2019-03-30,1.0145303092302145
2019-03-31,1.0230945016199615
2019-04-01,1.0525437531157635
2019-04-02,1.0700721255324817
2019-04-03,1.0572076211171033
2019-04-04,1.0462429203757426
2019-04-05,1.0676159380896015
2019-04-06,1.0627057068746317
2019-04-07,1.066810496195565
2019-04-08,1.0634016287625863
2019-04-09,1.0451958106989374
2019-04-10,1.0375835259237025
2019-04-11,1.0170619603674504
2019-04-12,1.0239323261689621
2019-04-13,1.0473741033621173
2019-04-14,1.0416426981619569
2019-04-15,1.024044148462011
2019-04-16,1.0297869514868292
2019-04-17,1.0287684018301806
2019-04-18,1.039853954518739
2019-04-19,1.0356255822912726
2019-04-20,1.0353329850961908
2019-04-21,1.0268388112520241
2019-04-22,1.027145111378679
2019-04-23,1.0192845863084743
2019-04-24,1.016293979840404
2019-04-25,0.9976836904778836
2019-04-26,0.9914336318338389
2019-04-27,0.9954474805565258
2019-04-28,0.9974317924865347
2019-04-29,0.9899196671496436
2019-04-30,1.0130804069257007
2019-05-01,1.0145748432375492
2019-05-02,1.0068197990812684
2019-05-03,1.0335216528357571
2019-05-04,1.027597951562828
2019-05-05,1.0332068245136905
2019-05-06,1.06721173715692
2019-05-07,1.0588453077398883
2019-05-08,1.073499656232501
2019-05-09,1.090618023179578
2019-05-10,1.102070521692519
2019-05-11,1.1124353063625545
2019-05-12,1.0980740968847975
2019-05-13,1.0962566095443937
2019-05-14,1.158105090925947
2019-05-15,1.162316271313757
2019-05-16,1.177736789238877
2019-05-17,1.170732287301188
2019-05-18,1.1818728527662226
2019-05-19,1.191476274680306
2019-05-20,1.2113982559706864
2019-05-21,1.224486459763833
2019-05-22,1.2302550329468915
2019-05-23,1.2467388677902063
2019-05-24,1.2430015042409166
2019-05-25,1.2166067443039184
2019-05-26,1.2114848165891257
2019-05-27,1.2289795924267848
2019-05-28,1.2395109604015844
2019-05-29,1.225135123985763
2019-05-30,1.2013825979298856
2019-05-31,1.2026995370546647
2019-06-01,1.1953153171510393
2019-06-02,1.204221917176083
2019-06-03,1.1881478579028795
2019-06-04,1.1827225267631727
2019-06-05,1.2157523617272719
2019-06-06,1.2209162995630307
2019-06-07,1.2281862757516713
2019-06-08,1.2245837391217647
2019-06-09,1.2134871389073842
2019-06-10,1.2307447962962688
2019-06-11,1.2235814907989035
2019-06-12,1.2250955738088234
2019-06-13,1.306089023012486
2019-06-14,1.295307321851891
2019-06-15,1.300607444328538
2019-06-16,1.2972215239036449
2019-06-17,1.314463524914313
2019-06-18,1.3068180615582883
2019-06-19,1.3083448567014313
2019-06-20,1.3042030582071529
2019-06-21,1.300977190458806
2019-06-22,1.3080710876576678
2019-06-23,1.3068473796912545
2019-06-24,1.3099344590440465
2019-06-25,1.3271389586098041
2019-06-26,1.3304836472984511
2019-06-27,1.3298498979969318
2019-06-28,1.3638540964137635
2019-06-29,1.3907230720802628
2019-06-30,1.3802606974012674
2019-07-01,1.3863237543100921
2019-07-02,1.3886256111095827
2019-07-03,1.38350944143735
2019-07-04,1.3805289988853209
2019-07-05,1.3867873623079907
2019-07-06,1.3819148588093484
2019-07-07,1.3769494822422967
2019-07-08,1.3776619334856501
2019-07-09,1.3705929899507434
2019-07-10,1.372232573261716
2019-07-11,1.3604415966719745
2019-07-12,1.3747070040555454
2019-07-13,1.375116409194368
2019-07-14,1.359785613689976
2019-07-15,1.3544360998644376
2019-07-16,1.3299257996641054
2019-07-17,1.3407335023393865
2019-07-18,1.3554731685774517
2019-07-19,1.351715679716575
2019-07-20,1.3546527232943268
2019-07-21,1.3487734296034808
2019-07-22,1.3422406448857294
2019-07-23,1.3394534606659274
2019-07-24,1.3421080383081074
2019-07-25,1.3409283586110579
2019-07-26,1.341875624580896
2019-07-27,1.3327239035315168
2019-07-28,1.3315416379501834
2019-07-29,1.3254766695211109
2019-07-30,1.3213417445377595
2019-07-31,1.3321927201731818
2019-08-01,1.329963242923728
2019-08-02,1.353238090927784
2019-08-03,1.3538724423025634
2019-08-04,1.3613749478073829
2019-08-05,1.3574673144564902
2019-08-06,1.3565687536680349
2019-08-07,1.3501470876448132
2019-08-08,1.3419498764451487
2019-08-09,1.331142099783615
2019-08-10,1.346749619611247
2019-08-11,1.35275700464442
2019-08-12,1.3505668955073293
2019-08-13,1.3542761368861633
2019-08-14,1.340385121502223
2019-08-15,1.3560746838177475
2019-08-16,1.3428252191282324
2019-08-17,1.35318653751363
2019-08-18,1.3676776175129113
2019-08-19,1.3692160561350304
2019-08-20,1.35000511333353
2019-08-21,1.326694701399141
2019-08-22,1.3310700749464517
2019-08-23,1.3316155173558375
2019-08-24,1.3224890754008287
2019-08-25,1.3087482989868326
2019-08-26,1.3076927409039742
2019-08-27,1.3142440859856934
2019-08-28,1.2834607375194458
2019-08-29,1.2636091100626714
2019-08-30,1.2670164619252948
2019-08-31,1.2635377866418638
2019-09-01,1.262717393798595
2019-09-02,1.2735157798946863
2019-09-03,1.2772243079634868
2019-09-04,1.2632879948850564
2019-09-05,1.2666231312476983
2019-09-06,1.2534950342850848
2019-09-07,1.2627143882412457
2019-09-08,1.2737982565178096
2019-09-09,1.2670065805963873
2019-09-10,1.2674655025493795
2019-09-11,1.2538049612812228
2019-09-12,1.2489652002265381
2019-09-13,1.2237834094431417
2019-09-14,1.2224742386868495
2019-09-15,1.2314596439198067
2019-09-16,1.223468920055756
2019-09-17,1.2359842038862672
2019-09-18,1.2746676678121944
2019-09-19,1.28720686138104
2019-09-20,1.2788437085898046
2019-09-21,1.288213814519318
2019-09-22,1.2770406288702867
2019-09-23,1.2759897230345338
2019-09-24,1.2644742913903217
2019-09-25,1.2638342284900894
2019-09-26,1.2476545120926654
