trade,equity
0,1.1745864257025334
1,1.1720166704297512
2,1.3648713679442543
3,1.5186982423303912
4,1.3889092860108971
5,1.279982991399196
6,1.335945115285908
7,1.4921983945832822
8,1.3981012908058448
9,1.563404383032525
10,1.6395187215769187
11,1.6394105375886485
12,1.7781311830858033
13,1.6462347220361604
14,1.5672492630779993
15,1.469425037553862
16,1.6159578285415912
17,1.7792188761651557
18,1.7052488463481605
19,1.6531917769215694
20,1.5603234682238827
21,1.6641344431769067
22,1.7535519322842488
23,1.7183027758598044
24,1.8406613586986154
25,1.8954030184551376
26,1.7280769153024491
27,1.6198534120246395
28,1.6996814077340516
29,1.5985190254847752
30,1.4805295396415405
31,1.5678978272399393
32,1.4865563520123024
33,1.5973659470760375
34,1.531276669183115
35,1.462319894811526
36,1.5296264944363303
37,1.647483177651445
38,1.771742936738651
39,1.9635866574425318
40,2.1125923622879856
41,1.9681039567807481
42,2.210239649765434
43,2.56804219112798
44,2.431375469234026
45,2.307748392619811
46,2.3705164012751836
47,2.420158500991725
48,2.279739692140973
49,2.2553828215284217
50,2.2106247265725587
51,2.3522542747061164
52,2.263675775682064
53,2.4061510500124332
54,2.3177190729128414
55,2.227398360773693
56,2.316999343882549
57,2.2406186059532023
58,2.2563722617487603
59,2.269546791063434
60,2.3775594410628242
61,2.355481770311873
62,2.304390574351006
63,2.260004799926486
64,2.2003925239915785
65,2.1981837987734414
66,2.1524466130883173
67,2.1893430861604433
68,2.13704306265048
69,2.086596043076731
70,2.016197017858521
71,2.1247382560866823
72,2.1078025433766774
73,2.024353101744153
74,1.9495085032142327
75,2.0759994224149163
76,2.090699023703964
77,2.0926325215482886
78,2.0311758068564627
79,1.9687709850111552
80,1.8518951744107175
81,1.741236434984212
82,1.6734866265199915
83,1.7219572823108418
84,1.6644377080592205
85,1.6846980356804706
86,1.6318940669280848
87,1.5839717299707883
88,1.5286151396246905
89,1.5100243953591745
90,1.5132188809300702
91,1.4432283451067291
92,1.3802589706665938
93,1.332939208500931
94,1.3480157074851347
95,1.393476181941627
96,1.5031513436161295
97,1.6245643076060543
98,1.5783903468082638
99,1.5663060148654602
100,1.541378043420949
101,1.4932870484662153
102,1.48950447874108
103,1.4615165247884165
104,1.439884547330811
105,1.3949601494540897
106,1.3777405780869096
107,1.5072908487316994
108,1.5374681646710662
109,1.5006871109361497
110,1.4965813139796356
111,1.470480005018836
112,1.5304415438869226
113,1.5803086022804835
114,1.6864720825266835
115,1.8015203565237936
116,1.9146140495664923
117,1.9313722277916283
118,1.9583624739477152
119,1.908527385743457
120,2.0275754130837385
121,1.966040521669862
122,2.118893761524314
123,2.3179830430286645
124,2.2897339894161726
125,2.190682715085347
