date,equity
2019-01-07,0.9954769474122627
2019-01-08,1.0131450546882361
2019-01-09,1.0087709476639544
2019-01-10,0.9785350387512795
2019-01-11,0.9835373810525165
2019-01-12,0.9813440478786599
2019-01-13,0.962124340908097
2019-01-14,0.9619586366621521
2019-01-15,0.9619586366621521
2019-01-16,0.9619586366621521
2019-01-17,0.9619586366621521
2019-01-18,0.9619586366621521
2019-01-19,0.9619586366621521
2019-01-20,0.9619586366621521
2019-01-21,0.9619586366621521
2019-01-22,0.9619586366621521
2019-01-23,0.9619586366621521
2019-01-24,0.9619586366621521
2019-01-25,0.9619586366621521
2019-01-26,0.9741321062747973
2019-01-27,0.9782459092787547
2019-01-28,0.9313293015549372
2019-01-29,0.9311008731276688
2019-01-30,0.9311008731276688
2019-01-31,0.9311008731276688
2019-02-01,0.9311008731276688
2019-02-02,0.9311008731276688
2019-02-03,0.9311008731276688
2019-02-04,0.9311008731276688
2019-02-05,0.9608851543925409
2019-02-06,0.9733216356947445
2019-02-07,0.9615121022634783
2019-02-08,0.9958721985939393
2019-02-09,1.0042992416021619
2019-02-10,1.017639043968142
2019-02-11,1.0311319559529193
2019-02-12,1.0216036324897255
2019-02-13,1.0041721642384036
2019-02-14,1.0016052061163372
2019-02-15,1.0233513939761036
2019-02-16,1.0163410249308202
2019-02-17,1.0203130133482572
2019-02-18,1.0375888108213733
2019-02-19,1.0745367494142812
2019-02-20,1.087320751967193
2019-02-21,1.070805012105236
2019-02-22,1.0841067712212236
2019-02-23,1.0838006438312595
2019-02-24,1.0600342502584732
2019-02-25,1.0489691248079318
2019-02-26,1.0387210074952726
2019-02-27,1.052577182936847
2019-02-28,1.0692809416436064
2019-03-01,1.1097070574234857
2019-03-02,1.1237148915344577
2019-03-03,1.1107442458361017
2019-03-04,1.1107257302181086
2019-03-05,1.186345352183071
2019-03-06,1.2051023037239204
2019-03-07,1.2181631887721063
2019-03-08,1.1954650579790724
2019-03-09,1.2039748014199563
2019-03-10,1.202905133339076
2019-03-11,1.2028851812609809
2019-03-12,1.2249379417017918
2019-03-13,1.2178070115723219
2019-03-14,1.214915558154745
2019-03-15,1.2160825488655413
2019-03-16,1.2411712021410797
2019-03-17,1.2332265063895764
2019-03-18,1.2305877180463376
2019-03-19,1.2290340150070598
2019-03-20,1.2228052601933608
2019-03-21,1.204630961490568
2019-03-22,1.2044251081995536
2019-03-23,1.2044251081995536
2019-03-24,1.2044251081995536
2019-03-25,1.195666341726735
2019-03-26,1.18489781853771
2019-03-27,1.1935154753451995
2019-03-28,1.1941304190073736
2019-03-29,1.1922594128684196
2019-03-30,1.2010908022503615
2019-03-31,1.2122460543140883
2019-04-01,1.2207485110731162
2019-04-02,1.2613725985762136
2019-04-03,1.238711537269338
2019-04-04,1.2490913144551516
2019-04-05,1.2540359265485508
2019-04-06,1.2460487734191776
2019-04-07,1.2462704385343117
2019-04-08,1.2241741507005923
2019-04-09,1.2309761090266669
2019-04-10,1.2259471600043568
2019-04-11,1.2108459193292023
2019-04-12,1.2105880003401313
2019-04-13,1.2105880003401313
2019-04-14,1.2105880003401313
2019-04-15,1.2105880003401313
2019-04-16,1.2105880003401313
2019-04-17,1.2105880003401313
2019-04-18,1.2105880003401313
2019-04-19,1.2536064288819335
2019-04-20,1.263478977601329
2019-04-21,1.2512462218522666
2019-04-22,1.2459161568866364
2019-04-23,1.2275252845669016
2019-04-24,1.2325244875536114
2019-04-25,1.2106844727129864
2019-04-26,1.2195605224507224
2019-04-27,1.2105480819319399
2019-04-28,1.2191809115583943
2019-04-29,1.1999915082438777
2019-04-30,1.199737985556253
2019-05-01,1.199737985556253
2019-05-02,1.199737985556253
2019-05-03,1.199737985556253
2019-05-04,1.199737985556253
2019-05-05,1.199737985556253
2019-05-06,1.199737985556253
2019-05-07,1.199737985556253
2019-05-08,1.199737985556253
2019-05-09,1.199737985556253
2019-05-10,1.199737985556253
2019-05-11,1.199737985556253
2019-05-12,1.199737985556253
2019-05-13,1.199737985556253
2019-05-14,1.201654996584214
2019-05-15,1.2532540068369817
2019-05-16,1.2446658164015147
2019-05-17,1.2350869725909228
2019-05-18,1.277577240967769
2019-05-19,1.2837920170094608
2019-05-20,1.2834457531951604
2019-05-21,1.3217811634790573
2019-05-22,1.3090500292876126
2019-05-23,1.312806042059117
2019-05-24,1.3395594134936597
2019-05-25,1.3516037328512778
2019-05-26,1.3366694634175755
2019-05-27,1.3359780117977487
