trade,equity
0,1.1745864257025334
1,1.1500011218523294
2,1.2373155524046058
3,1.3185262308134391
4,1.2005221341112058
5,1.1943676987488099
6,1.2465866372603314
7,1.3923884728084384
8,1.3031904559228515
9,1.4572718615699194
10,1.511652893852259
11,1.4236363717323326
12,1.5681938951925543
13,1.5823966533711982
14,1.7180644227620598
15,1.5998368240130212
16,1.4771746207696246
17,1.3852981108259268
18,1.4747941327743543
19,1.5743008351491887
20,1.5793752655558497
21,1.7271584421256965
22,1.6860435660780995
23,1.757746730018063
24,1.7029050320414993
25,1.6497743950418045
26,1.6096894228616803
27,1.5870316504947182
28,1.537516262999283
29,1.5921803706121231
30,1.6590437822134911
31,1.6886118629463722
32,1.7239738787661427
33,1.8909474137742166
34,1.804683583574316
35,1.6999749378165405
36,1.758835521923421
37,1.7744014498603606
38,1.7384190211029031
39,1.7772357122662663
40,1.7103106040850276
41,1.6431512681029012
42,1.7465708612284743
43,1.6823800805199347
44,1.6168183095800652
45,1.5635192976880425
46,1.6595167115964158
47,1.6086788053848207
48,1.5937408482528455
49,1.545455970899258
50,1.5066765620002933
51,1.4809960634089652
52,1.440502063151398
53,1.4836526236517438
54,1.4369898597095718
55,1.513236192102721
56,1.5089622600352797
57,1.4969347308782226
58,1.5551813279477007
59,1.5396564011248643
60,1.5134972873046642
61,1.581989270245452
62,1.5254700943284591
63,1.5139991855429475
64,1.438938631077255
65,1.440269374866657
66,1.3979713492271315
67,1.355020782024197
68,1.3689371726277741
69,1.3340798680809134
70,1.2701448706942968
71,1.1958550053766175
72,1.119200670444545
73,1.0756536658378255
74,1.0586012604837813
75,1.1004879701438113
76,1.132362365049336
77,1.186360712959244
78,1.1577715303492322
79,1.1807431077135424
80,1.1695292495384408
81,1.2284288818978644
82,1.2225803903528891
83,1.1755566945212759
84,1.131071871277404
85,1.126211273136745
86,1.1238537854583375
87,1.1000280852066207
88,1.0968789059165132
89,1.1402033895248547
90,1.1679660819379494
91,1.1518002839348718
92,1.192353798346687
93,1.1694104216983399
94,1.144618920758335
95,1.1203529996382584
96,1.1014366658194708
97,1.091121141735451
98,1.0689549258724202
99,1.0462930814439249
100,1.0386224539596105
101,1.0776950189698877
102,1.0765819013008227
103,1.1479021290280982
104,1.2561813671453645
105,1.2295503221618829
106,1.203483855332051
107,1.1779699975990117
108,1.267275486662085
109,1.2404092463448488
110,1.214112570322338
111,1.1883733838315045
112,1.1843754247851295
113,1.1704220295200582
114,1.17290858037861
115,1.1827400291417633
116,1.1722011117498805
117,1.1569845186979015
118,1.144026292088485
119,1.1312131976170938
120,1.181290655748326
121,1.2149910220392526
122,1.2663840289861976
123,1.262500447398056
124,1.1817973437660798
125,1.1705294873235552
126,1.1075546586553864
127,1.174290561760046
128,1.1046279367606837
129,1.041149279075528
130,0.9692956389561264
131,0.9587937833092525
132,0.9150399089005071
133,0.976511333629107
134,1.028404627127298
135,1.0999458345021456
136,1.0794379828108656
137,1.0888860562244194
138,1.0285851716947247
139,1.0429592869362414
140,1.0164187620082166
141,1.0124355126905022
142,0.9817091047182285
143,1.0486964137470745
144,1.1135071281841773
145,1.0611163345251828
146,1.1608178355958039
147,1.177624866699398
148,1.1242775197127617
149,1.1469461034886679
150,1.134393059265703
