date,oi,oi_value,oi_mean,ls_global,ls_top,taker_ls
2022-12-18,1031693.5640,1220468361.1620,1051725.2877,1.826586,1.056921,1.075503
2022-12-19,1052039.2690,1227266929.6446,1046887.9654,1.850099,1.050675,1.064351
2022-12-20,1055392.7670,1284824600.6181,1053104.1267,1.332385,1.062574,1.119490
2022-12-21,1057534.6970,1281540850.0043,1063980.4821,1.317804,1.118374,1.094432
2022-12-22,1040552.5450,1266563808.6787,1072127.4598,1.557297,1.123209,1.093348
2022-12-23,1054341.9180,1285769969.0010,1061415.0039,1.307030,1.140134,1.115172
2022-12-24,1070347.2470,1305609571.8906,1064560.4394,1.279114,1.123411,1.166444
2022-12-25,1050609.7280,1279709555.7339,1062318.0704,1.322006,1.157379,1.131039
2022-12-26,1064182.2050,1308420079.7482,1063414.4183,1.270049,1.155399,1.130495
2022-12-27,1111730.9280,1346495148.0658,1080549.5706,1.509000,1.146064,1.089124
2022-12-28,1122712.6230,1335759272.0022,1113741.2743,1.813061,1.130235,1.055435
2022-12-29,1107579.3900,1330557272.7948,1119711.2266,1.573723,1.154749,1.083104
2022-12-30,1110792.5930,1331540405.0069,1109836.1911,1.635299,1.174380,1.103112
2022-12-31,1090888.6900,1304997413.1863,1108072.6932,1.595498,1.179501,1.163214
2023-01-01,1130614.8990,1356414061.7611,1108745.7581,1.563882,1.170231,1.147556
2023-01-02,1121834.1150,1361603720.3990,1140458.2192,1.263407,1.178503,1.148041
2023-01-03,1109594.3020,1347225017.7163,1124914.7737,1.471189,1.163285,1.123308
2023-01-04,1208215.4340,1517760228.1908,1194113.9347,0.876219,1.165362,1.154630
2023-01-05,1207128.4260,1508945270.4814,1206274.9055,0.891704,1.184439,1.100192
2023-01-06,1284670.1910,1629985442.2213,1214571.4532,0.797766,1.162364,1.112588
2023-01-07,1251337.4320,1581493573.9330,1279070.2012,0.831654,1.181625,1.234264
2023-01-08,1271941.6710,1635399003.4883,1245449.1365,0.833833,1.163647,1.181235
2023-01-09,1336494.4190,1766560086.2471,1320353.3281,0.665607,1.183208,1.075642
2023-01-10,1366368.6940,1824389143.9157,1346856.8342,0.640117,1.189729,1.066134
2023-01-11,1298323.9630,1802921166.0453,1361170.7749,0.709068,1.192505,1.091489
2023-01-12,1279915.8710,1813628665.7671,1283540.1749,0.721402,1.226404,1.090427
2023-01-13,1248778.8570,1811503585.5413,1292487.3818,0.792416,1.232390,1.082203
2023-01-14,1034907.5370,1606279988.1777,1056402.4941,1.046060,1.331044,1.075565
2023-01-15,1058217.1510,1642353018.3520,1042285.9169,0.972135,1.332984,1.085260
2023-01-16,1101098.2720,1736233777.2550,1076889.7938,0.870135,1.309566,1.041248
2023-01-17,1131016.3750,1773003889.7775,1114083.6543,0.871048,1.306401,1.075101
2023-01-18,1117460.0740,1690672393.5590,1135583.7823,0.917985,1.328140,1.024755
2023-01-19,1133575.0310,1758334705.0859,1132064.8686,0.848199,1.318193,1.083342
2023-01-20,1138329.3640,1890867523.2468,1163848.2365,0.813661,1.344508,1.101696
2023-01-21,1135183.0990,1844160713.7143,1160454.5790,0.840161,1.375376,1.084119
2023-01-22,1102450.7770,1795963435.0421,1119469.7323,1.009065,1.341784,1.074522
2023-01-23,1073619.4280,1749467809.5876,1099284.4973,1.053628,1.366582,2.523212
2023-01-24,1001976.0330,1557509902.1393,1063961.9868,1.174539,1.362439,1.054931
2023-01-25,979256.4460,1581479575.1611,1009237.2378,1.267026,1.321006,1.042190
2023-01-26,973782.8430,1559552624.7820,980855.7094,1.209202,1.355927,1.064157
2023-01-27,988121.4010,1576923181.4279,988134.7295,1.220057,1.341626,1.084262
2023-01-28,991294.4060,1556461085.6928,988631.0774,1.479740,1.316388,1.084642
2023-01-29,1053747.9380,1737229626.6183,1014256.6867,0.983034,1.309461,1.090336
2023-01-30,967491.2610,1516140677.1389,1018071.4341,1.442960,1.356515,1.020603
2023-01-31,969375.2680,1538576642.2729,982995.0471,1.265187,1.346305,1.091108
2023-02-01,1015217.2050,1666407570.8178,972560.2850,0.951699,1.329746,1.057358
2023-02-02,1013856.8180,1666311629.0741,1046721.5168,1.012393,1.320241,1.072741
2023-02-03,1049604.4640,1746367363.0099,1028973.0629,1.085422,1.297220,1.055466
2023-02-04,1134764.4950,1889395792.6999,1102743.1378,0.959433,1.285195,1.084824
2023-02-05,1037331.5350,1692345968.5873,1111988.3257,1.276436,1.282550,1.060145
2023-02-06,1050258.9770,1695668922.8410,1060862.8143,1.321376,1.277807,1.098968
2023-02-07,1107601.4640,1852114397.9624,1075468.7637,1.027300,1.276968,1.099075
2023-02-08,1080055.5140,1783713324.9671,1122838.0235,1.201083,1.311917,1.077316
2023-02-09,1020234.4980,1575629754.0212,1085733.0753,1.571590,1.275561,1.031260
2023-02-10,1022981.2790,1548906184.3467,1027550.6997,1.609902,1.233854,1.050570
2023-02-11,1005642.6290,1549132131.4168,1033003.2452,1.705676,1.227225,1.161747
2023-02-12,970258.7140,1466875934.1738,999147.6038,1.775424,1.163469,1.113941
2023-02-13,1043976.3440,1574008749.0008,1032159.9113,1.631259,1.173696,1.062448
2023-02-14,976256.9090,1518460562.0535,1013824.2578,1.232120,1.128732,1.078415
2023-02-15,944682.7920,1583656785.6809,962409.3698,0.977902,1.181691,1.157630
2023-02-16,893234.1010,1463879649.0853,931473.2899,0.911722,1.247893,1.062235
2023-02-17,930097.8590,1576463609.2155,904538.3405,0.893895,1.234832,1.048284
2023-02-18,967106.8480,1637071792.8611,959006.0354,0.958990,1.230871,1.131946
2023-02-19,955626.9440,1606212369.3488,967826.2956,1.008509,1.247020,1.143507
2023-02-20,981534.7810,1670205997.0886,982791.5791,0.985567,1.220452,1.093837
2023-02-21,998751.4960,1654232102.8248,1000630.6319,1.472781,1.200842,1.063399
2023-02-22,957006.0980,1572374448.8050,982463.3442,1.675423,1.205217,1.058899
2023-02-23,943001.8530,1556529504.5906,937601.8350,1.553934,1.219698,1.070893
2023-02-24,976801.8930,1570872463.2339,965468.9053,1.840551,1.202426,1.050807
2023-02-25,982020.7180,1565554941.4530,992548.7592,1.825078,1.192882,1.068366
2023-02-26,966730.7360,1584674689.7586,977899.0938,1.469423,1.174380,1.183083
2023-02-27,952412.5230,1554822967.9227,973838.6368,1.560075,1.216805,1.091128
2023-02-28,970749.4920,1555755052.4043,971745.1248,1.673276,1.212292,1.047097
2023-03-01,1015438.4940,1690928680.1857,1002290.3537,1.200917,1.212459,1.144982
2023-03-02,1048062.7100,1726218557.1540,1028215.7623,1.438831,1.213468,1.033298
2023-03-03,950276.2590,1489329969.6803,988701.4985,1.888086,1.167298,1.047687
2023-03-04,957917.9890,1499375056.4192,955322.5655,1.811320,1.154736,1.066257
2023-03-05,926033.8810,1448727771.5406,944186.4400,1.845802,1.123459,1.152435
2023-03-06,924784.2480,1447849442.8706,932914.1174,1.749143,1.127485,1.091487
2023-03-07,937774.2200,1464400088.7254,939048.5098,1.711115,1.150218,1.117770
2023-03-08,996655.2400,1527082629.8849,966117.0654,1.773592,1.166212,1.102519
2023-03-09,920895.6260,1324668588.1841,995762.1991,1.872589,1.108513,1.072730
2023-03-10,840135.0850,1196318755.6366,879500.2948,1.713226,1.063631,1.019164
2023-03-11,811868.2910,1196238385.8466,828485.7180,1.286833,1.058752,1.062392
2023-03-12,752531.5520,1185835722.3716,819488.2699,1.127422,1.100769,1.084071
2023-03-13,801014.0710,1338764931.6031,796652.3543,0.841837,1.131178,1.064833
