date,close,volume_usd
2019-09-06,0.008361,3047587.800335
2019-09-07,0.010928,2245664.333194
2019-09-08,0.00984,802607.16507
2019-09-09,0.00855,621999.764998
2019-09-10,0.007862,427828.888189
2019-09-11,0.006672,329780.045222
2019-09-12,0.005835,405294.849527
2019-09-13,0.006228,247378.083599
2019-09-14,0.006142,76321.698189
2019-09-15,0.0072,419236.635153
2019-09-16,0.006842,342697.223948
2019-09-17,0.0069,543911.950496
2019-09-18,0.00679,252974.573213
2019-09-19,0.006476,136810.378166
2019-09-20,0.006299,159722.790058
2019-09-21,0.006197,102213.714469
2019-09-22,0.005699,156712.612975
2019-09-23,0.00536,103918.10186
2019-09-24,0.004323,154125.731235
2019-09-25,0.004372,67313.428984
2019-09-26,0.004078,120664.918883
2019-09-27,0.004076,71690.329041
2019-09-28,0.004225,50047.623522
2019-09-29,0.00411,47261.520075
2019-09-30,0.004239,42731.817379
2019-10-01,0.004626,115889.631654
2019-10-02,0.00449,245459.24001
2019-10-03,0.004368,70720.921302
2019-10-04,0.004336,90753.866375
2019-10-05,0.004401,56547.597836
2019-10-06,0.004376,37055.927332
2019-10-07,0.004855,107480.244863
2019-10-08,0.005038,93086.585383
2019-10-09,0.004985,119537.845771
2019-10-10,0.004901,77553.121477
2019-10-11,0.004901,45386.125029
2019-10-12,0.005024,35198.373101
2019-10-13,0.004969,42482.94974
2019-10-14,0.00522,38252.724591
2019-10-15,0.005521,115440.51858
2019-10-16,0.006551,333705.816411
2019-10-17,0.006612,289163.937318
2019-10-18,0.00854,1513990.965554
2019-10-19,0.00757,1189867.717812
2019-10-20,0.00986,1257584.871768
2019-10-21,0.009447,1267163.865541
2019-10-22,0.00937,532045.919956
2019-10-23,0.008468,577601.363409
2019-10-24,0.008299,259132.424553
2019-10-25,0.010751,2035633.038912
2019-10-26,0.01053,1322954.110619
2019-10-27,0.010181,375232.927106
2019-10-28,0.0095,481302.296313
2019-10-29,0.010953,645924.636303
2019-10-30,0.010761,508385.046229
2019-10-31,0.010725,296564.971592
2019-11-01,0.011721,412243.717715
2019-11-02,0.013979,1447246.783374
2019-11-03,0.015936,2566630.644096
2019-11-04,0.017132,3643279.967037
2019-11-05,0.015877,2856791.376636
2019-11-06,0.0152,2484447.846245
2019-11-07,0.014417,1985892.416239
2019-11-08,0.012839,1098716.8529
2019-11-09,0.013381,528012.110863
2019-11-10,0.013226,373871.920338
2019-11-11,0.012983,384584.504427
2019-11-12,0.013633,876208.128497
2019-11-13,0.014479,1516788.300675
2019-11-14,0.014381,1365354.925798
2019-11-15,0.013591,894248.182428
2019-11-16,0.013713,270872.143352
2019-11-17,0.013743,235971.239557
2019-11-18,0.012931,606058.237027
2019-11-19,0.012372,512619.761922
2019-11-20,0.011891,229691.086912
2019-11-21,0.011304,402711.055761
2019-11-22,0.010375,526420.043915
2019-11-23,0.011645,1060697.38847
2019-11-24,0.01085,627045.592522
2019-11-25,0.010966,505709.125953
2019-11-26,0.011434,639142.524013
2019-11-27,0.012233,695396.245903
2019-11-28,0.01166,1125048.681137
2019-11-29,0.011609,549906.460835
2019-11-30,0.011414,287997.302944
2019-12-01,0.0114,565290.860121
2019-12-02,0.011507,313072.086118
2019-12-03,0.011082,344348.914853
2019-12-04,0.010294,483096.061155
2019-12-05,0.010025,285276.850486
2019-12-06,0.010149,445182.147139
2019-12-07,0.009899,167742.308727
